line_id,sequence,stop_name,sloid,didok,lat,lon,via,junction
aare-seeland-mobil-ltb:FUN-2016,1,Ligerz (Talstation),ch:1:sloid:4356,8504356,47.08394614,7.13469846,backbone,
aare-seeland-mobil-ltb:FUN-2016,2,Ligerz Pilgerweg,ch:1:sloid:4358,8504358,47.08515727,7.13314438,backbone,
aare-seeland-mobil-ltb:FUN-2016,3,Ligerz Festi,ch:1:sloid:4357,8504357,47.08715128,7.13203945,backbone,
aare-seeland-mobil-ltb:FUN-2016,4,Prêles,ch:1:sloid:4359,8504359,47.09273535,7.13079978,backbone,
arc-jurassien:R13,1,Yverdon-les-Bains,ch:1:sloid:4200,8504200,46.78154335,6.64094845,backbone,
arc-jurassien:R13,2,Concise,ch:1:sloid:4203,8504203,46.85088142,6.72315328,backbone,
arc-jurassien:R13,3,Gorgier-St-Aubin,ch:1:sloid:4205,8504205,46.89907454,6.78102275,backbone,
arc-jurassien:R13,4,Bevaix,ch:1:sloid:4206,8504206,46.92969471,6.81168225,backbone,
arc-jurassien:R13,5,Boudry,ch:1:sloid:4208,8504208,46.95945742,6.83504743,backbone,
arc-jurassien:R13,6,Colombier NE,ch:1:sloid:4209,8504209,46.96765413,6.84887251,backbone,
arc-jurassien:R13,7,Auvernier,ch:1:sloid:4219,8504219,46.97964346,6.87770843,backbone,
arc-jurassien:R13,8,Neuchâtel-Serrières,ch:1:sloid:4220,8504220,46.98396411,6.90336431,backbone,
arc-jurassien:R13,9,Neuchâtel,ch:1:sloid:4221,8504221,46.99672791,6.93570366,backbone,
arc-jurassien:R13,10,St-Blaise CFF,ch:1:sloid:4222,8504222,47.01457863,6.98211063,backbone,
arc-jurassien:R13,11,Cornaux NE,ch:1:sloid:4223,8504223,47.03857029,7.02337025,backbone,
arc-jurassien:R13,12,Cressier NE,ch:1:sloid:4224,8504224,47.05195146,7.03953094,backbone,
arc-jurassien:R13,13,Le Landeron,ch:1:sloid:4225,8504225,47.05663347,7.06633667,backbone,
arc-jurassien:R13,14,La Neuveville,ch:1:sloid:4226,8504226,47.06283267,7.09523547,backbone,
arc-jurassien:R13,15,Twann,ch:1:sloid:4228,8504228,47.09366495,7.15650058,backbone,
arc-jurassien:R13,16,Tüscherz,ch:1:sloid:4229,8504229,47.11501075,7.19732002,backbone,
arc-jurassien:R13,17,Biel/Bienne,ch:1:sloid:4300,8504300,47.13289524,7.24290952,backbone,
arc-jurassien:R16,1,Neuchâtel,ch:1:sloid:4221,8504221,46.99672791,6.93570366,backbone,
arc-jurassien:R16,2,St-Blaise CFF,ch:1:sloid:4222,8504222,47.01457863,6.98211063,backbone,
arc-jurassien:R16,3,Cornaux NE,ch:1:sloid:4223,8504223,47.03857029,7.02337025,backbone,
arc-jurassien:R16,4,Cressier NE,ch:1:sloid:4224,8504224,47.05195146,7.03953094,backbone,
arc-jurassien:R16,5,Le Landeron,ch:1:sloid:4225,8504225,47.05663347,7.06633667,backbone,
arc-jurassien:R16,6,La Neuveville,ch:1:sloid:4226,8504226,47.06283267,7.09523547,backbone,
arc-jurassien:R16,7,Twann,ch:1:sloid:4228,8504228,47.09366495,7.15650058,backbone,
arc-jurassien:R16,8,Tüscherz,ch:1:sloid:4229,8504229,47.11501075,7.19732002,backbone,
arc-jurassien:R16,9,Biel/Bienne,ch:1:sloid:4300,8504300,47.13289524,7.24290952,backbone,
arc-jurassien:R20,1,La Chaux-de-Fonds,ch:1:sloid:4314,8504314,47.09837387,6.82598343,backbone,
arc-jurassien:R20,2,La Chaux-de-Fonds Les Forges,ch:1:sloid:4321,8504321,47.0913348,6.8127782,backbone,
arc-jurassien:R20,3,Le Crêt-du-Locle,ch:1:sloid:4315,8504315,47.07723552,6.78458008,backbone,
arc-jurassien:R20,4,Le Locle,ch:1:sloid:4316,8504316,47.05786357,6.74615015,backbone,
arc-jurassien:R23,1,Neuchâtel,ch:1:sloid:4221,8504221,46.99672791,6.93570366,backbone,
arc-jurassien:R23,2,Les Deurres,ch:1:sloid:4231,8504231,46.98552681,6.89915121,backbone,
arc-jurassien:R23,3,Corcelles-Peseux,ch:1:sloid:4232,8504232,46.98335127,6.88381697,backbone,
arc-jurassien:R41,1,Biel/Bienne,ch:1:sloid:4300,8504300,47.13289524,7.24290952,backbone,
arc-jurassien:R41,2,Frinvillier-Taubenloch,ch:1:sloid:4301,8504301,47.16945844,7.25752511,backbone,
arc-jurassien:R41,3,Reuchenette-Péry,ch:1:sloid:4302,8504302,47.18973604,7.24702381,backbone,
arc-jurassien:R41,4,La Heutte,ch:1:sloid:4303,8504303,47.18949185,7.22539238,backbone,
arc-jurassien:R41,5,Sonceboz-Sombeval,ch:1:sloid:4304,8504304,47.19515064,7.16876258,backbone,
arc-jurassien:R41,6,Corgémont,ch:1:sloid:4305,8504305,47.19339874,7.14466078,backbone,
arc-jurassien:R41,7,Cortébert,ch:1:sloid:4306,8504306,47.18933923,7.10730883,backbone,
arc-jurassien:R41,8,Courtelary,ch:1:sloid:4307,8504307,47.1756323,7.06880704,backbone,
arc-jurassien:R41,9,Cormoret,ch:1:sloid:4308,8504308,47.17294544,7.05411958,backbone,
arc-jurassien:R41,10,Villeret,ch:1:sloid:4309,8504309,47.16020547,7.01967818,backbone,
arc-jurassien:R41,11,St-Imier,ch:1:sloid:4310,8504310,47.15170842,7.00122678,backbone,
arc-jurassien:R41,12,Sonvilier,ch:1:sloid:4311,8504311,47.14134031,6.96935455,backbone,
arc-jurassien:R41,13,Renan BE,ch:1:sloid:4312,8504312,47.12572016,6.92538202,backbone,
arc-jurassien:R41,14,La Chaux-de-Fonds,ch:1:sloid:4314,8504314,47.09837387,6.82598343,backbone,
arc-jurassien:R42,1,Moutier,ch:1:sloid:105,8500105,47.28067307,7.38104346,backbone,
arc-jurassien:R42,2,Court,ch:1:sloid:104,8500104,47.24060047,7.34211048,backbone,
arc-jurassien:R42,3,Sorvilier,ch:1:sloid:103,8500103,47.23935629,7.30579159,backbone,
arc-jurassien:R42,4,Malleray-Bévilard,ch:1:sloid:102,8500102,47.23871589,7.27594956,backbone,
arc-jurassien:R42,5,Pontenet,ch:1:sloid:135,8500135,47.23885007,7.25415643,backbone,
arc-jurassien:R42,6,Reconvilier,ch:1:sloid:101,8500101,47.23523931,7.22741358,backbone,
arc-jurassien:R42,7,Tavannes,ch:1:sloid:100,8500100,47.21984201,7.20164092,backbone,
arc-jurassien:R42,8,Sonceboz-Sombeval,ch:1:sloid:4304,8504304,47.19515064,7.16876258,backbone,
arc-jurassien:R42,9,La Heutte,ch:1:sloid:4303,8504303,47.18949185,7.22539238,backbone,
arc-jurassien:R42,10,Reuchenette-Péry,ch:1:sloid:4302,8504302,47.18973604,7.24702381,backbone,
arc-jurassien:R42,11,Frinvillier-Taubenloch,ch:1:sloid:4301,8504301,47.16945844,7.25752511,backbone,
arc-jurassien:R42,12,Biel/Bienne,ch:1:sloid:4300,8504300,47.13289524,7.24290952,backbone,
arc-jurassien:R:8500105-8504304,1,Moutier,ch:1:sloid:105,8500105,47.28067307,7.38104346,backbone,
arc-jurassien:R:8500105-8504304,2,Court,ch:1:sloid:104,8500104,47.24060047,7.34211048,backbone,
arc-jurassien:R:8500105-8504304,3,Sorvilier,ch:1:sloid:103,8500103,47.23935629,7.30579159,backbone,
arc-jurassien:R:8500105-8504304,4,Malleray-Bévilard,ch:1:sloid:102,8500102,47.23871589,7.27594956,backbone,
arc-jurassien:R:8500105-8504304,5,Pontenet,ch:1:sloid:135,8500135,47.23885007,7.25415643,backbone,
arc-jurassien:R:8500105-8504304,6,Reconvilier,ch:1:sloid:101,8500101,47.23523931,7.22741358,backbone,
arc-jurassien:R:8500105-8504304,7,Tavannes,ch:1:sloid:100,8500100,47.21984201,7.20164092,backbone,
arc-jurassien:R:8500105-8504304,8,Sonceboz-Sombeval,ch:1:sloid:4304,8504304,47.19515064,7.16876258,backbone,
arc-jurassien:R:8504300-8504304,1,Biel/Bienne,ch:1:sloid:4300,8504300,47.13289524,7.24290952,backbone,
arc-jurassien:R:8504300-8504304,2,Frinvillier-Taubenloch,ch:1:sloid:4301,8504301,47.16945844,7.25752511,backbone,
arc-jurassien:R:8504300-8504304,3,Reuchenette-Péry,ch:1:sloid:4302,8504302,47.18973604,7.24702381,backbone,
arc-jurassien:R:8504300-8504304,4,La Heutte,ch:1:sloid:4303,8504303,47.18949185,7.22539238,backbone,
arc-jurassien:R:8504300-8504304,5,Sonceboz-Sombeval,ch:1:sloid:4304,8504304,47.19515064,7.16876258,backbone,
arc-jurassien:R:8504304-8504314,1,Sonceboz-Sombeval,ch:1:sloid:4304,8504304,47.19515064,7.16876258,backbone,
arc-jurassien:R:8504304-8504314,2,Corgémont,ch:1:sloid:4305,8504305,47.19339874,7.14466078,backbone,
arc-jurassien:R:8504304-8504314,3,Cortébert,ch:1:sloid:4306,8504306,47.18933923,7.10730883,backbone,
arc-jurassien:R:8504304-8504314,4,Courtelary,ch:1:sloid:4307,8504307,47.1756323,7.06880704,backbone,
arc-jurassien:R:8504304-8504314,5,Cormoret,ch:1:sloid:4308,8504308,47.17294544,7.05411958,backbone,
arc-jurassien:R:8504304-8504314,6,Villeret,ch:1:sloid:4309,8504309,47.16020547,7.01967818,backbone,
arc-jurassien:R:8504304-8504314,7,St-Imier,ch:1:sloid:4310,8504310,47.15170842,7.00122678,backbone,
arc-jurassien:R:8504304-8504314,8,Sonvilier,ch:1:sloid:4311,8504311,47.14134031,6.96935455,backbone,
arc-jurassien:R:8504304-8504314,9,Renan BE,ch:1:sloid:4312,8504312,47.12572016,6.92538202,backbone,
arc-jurassien:R:8504304-8504314,10,La Chaux-de-Fonds,ch:1:sloid:4314,8504314,47.09837387,6.82598343,backbone,
