id,display_name,category,network_region,operators,terminal_a,terminal_b,true_terminal_a,true_terminal_b,route_ids,seasonal,trips_per_week,has_geometry
aare-seeland-mobil-ltb:FUN-2016,Standseilbahn Vinifuni,FUN,aare-seeland-mobil-ltb,Aare Seeland mobil (ltb),Ligerz (Talstation),Prêles,Ligerz (Talstation),Prêles,93-201-6-j26-1,false,365,true
arc-jurassien:R13,R13,R,arc-jurassien,Schweizerische Bundesbahnen SBB,Yverdon-les-Bains,Biel/Bienne,Yverdon-les-Bains,Biel/Bienne,91-13-G-j26-1,false,299,true
arc-jurassien:R16,R16,R,arc-jurassien,Schweizerische Bundesbahnen SBB,Neuchâtel,Biel/Bienne,Neuchâtel,Biel/Bienne,91-16-G-j26-1,false,136,true
arc-jurassien:R20,R20,R,arc-jurassien,Schweizerische Bundesbahnen SBB,La Chaux-de-Fonds,Le Locle,La Chaux-de-Fonds,Le Locle,91-20-J-j26-1,false,532,true
arc-jurassien:R23,R23,R,arc-jurassien,Schweizerische Bundesbahnen SBB,Neuchâtel,Corcelles-Peseux,Neuchâtel,Corcelles-Peseux,91-23-E-j26-1,false,462,true
arc-jurassien:R41,R41,R,arc-jurassien,Schweizerische Bundesbahnen SBB,Biel/Bienne,La Chaux-de-Fonds,Biel/Bienne,La Chaux-de-Fonds,91-41-E-j26-1,false,491,true
arc-jurassien:R42,R42,R,arc-jurassien,Schweizerische Bundesbahnen SBB,Moutier,Biel/Bienne,Moutier,Biel/Bienne,91-42-E-j26-1,false,109,true
arc-jurassien:R:8500105-8504304,SBB R Moutier-Sonceboz-Sombeval,R,arc-jurassien,Schweizerische Bundesbahnen SBB,Moutier,Sonceboz-Sombeval,Moutier,Sonceboz-Sombeval,91-5B-Y-j26-1,true,22,false
arc-jurassien:R:8504300-8504304,SBB R Biel/Bienne-Sonceboz-Sombeval,R,arc-jurassien,Schweizerische Bundesbahnen SBB,Biel/Bienne,Sonceboz-Sombeval,Biel/Bienne,Sonceboz-Sombeval,91-5-Y-j26-1,true,0,false
arc-jurassien:R:8504304-8504314,SBB R La Chaux-de-Fonds-Sonceboz-Sombeval,R,arc-jurassien,Schweizerische Bundesbahnen SBB,Sonceboz-Sombeval,La Chaux-de-Fonds,Sonceboz-Sombeval,La Chaux-de-Fonds,91-1F-Y-j26-1,true,0,false
arc-jurassien:RE-N5,RE N5,RE,arc-jurassien,Schweizerische Bundesbahnen SBB,Lausanne,Biel/Bienne,Lausanne,Biel/Bienne,91-N5-j26-1,false,2,false
arc-jurassien:RE4,RE4,RE,arc-jurassien,Schweizerische Bundesbahnen SBB,Biel/Bienne,La Chaux-de-Fonds,Biel/Bienne,La Chaux-de-Fonds,91-4-M-j26-1,false,205,true
arc-jurassien:RE56,RE56,RE,arc-jurassien,Schweizerische Bundesbahnen SBB,Delémont,Biel/Bienne,Delémont,Biel/Bienne,91-56-B-j26-1,false,10,false
arc-jurassien:RE6,RE6,RE,arc-jurassien,Schweizerische Bundesbahnen SBB,Neuchâtel,La Chaux-de-Fonds,Neuchâtel,La Chaux-de-Fonds,91-6-V-j26-1,false,266,true
